account_id,interaction_type,interaction_date
ACC-001,Discovery call,2026-06-14
ACC-002,Renewal discussion,2026-06-20
ACC-003,Discovery call,2026-06-24
ACC-004,QBR,2026-07-06
ACC-005,QBR,2026-08-01
ACC-006,QBR,2026-07-17
ACC-007,Check-in call,2026-06-19
ACC-008,Email thread,2026-07-01
ACC-009,Check-in call,2026-05-18
ACC-010,Check-in call,2026-06-15
ACC-011,Email thread,2026-06-23
ACC-012,Renewal discussion,2026-08-01
ACC-013,Discovery call,2026-08-08
ACC-014,Discovery call,2026-08-07
ACC-015,Email thread,2026-06-15
ACC-016,Email thread,2026-08-02
ACC-017,Discovery call,2026-05-16
ACC-018,Email thread,2026-05-19
ACC-019,Discovery call,2026-06-07
ACC-020,Email thread,2026-06-27
ACC-021,Discovery call,2026-07-13
ACC-022,Check-in call,2026-05-14
ACC-023,Check-in call,2026-07-11
ACC-024,Email thread,2026-06-25
ACC-025,Discovery call,2026-08-06
ACC-026,QBR,2026-07-30
ACC-027,Email thread,2026-07-10
ACC-028,Renewal discussion,2026-06-18
ACC-029,QBR,2026-05-22
ACC-030,Email thread,2026-06-13
