rep_id,period,activity_volume,conversion_ratio,deal_value,churn_rate
REP-01,2026-W23,44,34,300000,
REP-01,2026-W24,46,32,280000,
REP-01,2026-W25,45,29,260000,
REP-01,2026-W26,47,26,230000,
REP-01,2026-W27,44,24,200000,
REP-01,2026-W28,46,21,180000,
REP-02,2026-W23,38,30,230000,
REP-02,2026-W24,39,31,240000,
REP-02,2026-W25,40,33,250000,
REP-02,2026-W26,41,34,260000,
REP-02,2026-W27,42,35,270000,
REP-02,2026-W28,43,36,280000,
REP-05,2026-W23,40,27,235000,
REP-05,2026-W24,41,29,245000,
REP-05,2026-W25,40,28,238000,
REP-05,2026-W26,42,29,242000,
REP-05,2026-W27,41,27,236000,
REP-05,2026-W28,40,28,240000,
REP-03,2026-W23,22,,88000,3.0
REP-03,2026-W24,20,,85000,3.5
REP-03,2026-W25,18,,80000,4.2
REP-03,2026-W26,16,,74000,5.1
REP-03,2026-W27,14,,68000,6.2
REP-03,2026-W28,12,,60000,7.4
REP-04,2026-W23,25,,75000,4.0
REP-04,2026-W24,26,,78000,4.2
REP-04,2026-W25,25,,80000,3.8
REP-04,2026-W26,27,,85000,4.0
REP-04,2026-W27,26,,90000,3.9
REP-04,2026-W28,28,,95000,4.1
REP-06,2026-W23,21,,84000,5.2
REP-06,2026-W24,22,,86000,4.9
REP-06,2026-W25,21,,83000,5.0
REP-06,2026-W26,22,,85000,5.1
REP-06,2026-W27,21,,86000,4.9
REP-06,2026-W28,22,,85000,5.0
