account_id,invoice_date,status,dso_days
ACC-001,2026-08-10,current,11
ACC-002,2026-08-10,current,18
ACC-003,2026-08-10,current,53
ACC-004,2026-08-10,current,22
ACC-005,2026-08-10,current,31
ACC-006,2026-08-10,current,28
ACC-007,2026-07-11,overdue,19
ACC-007,2026-06-26,overdue,19
ACC-007,2026-08-10,current,19
ACC-008,2026-08-10,current,46
ACC-009,2026-08-10,current,17
ACC-010,2026-08-10,current,53
ACC-011,2026-08-10,current,36
ACC-012,2026-08-10,current,24
ACC-013,2026-08-10,current,27
ACC-014,2026-08-10,current,38
ACC-015,2026-08-10,current,25
ACC-016,2026-08-10,current,24
ACC-017,2026-08-10,current,25
ACC-018,2026-08-10,current,52
ACC-019,2026-08-10,current,28
ACC-020,2026-07-11,overdue,46
ACC-020,2026-06-26,overdue,46
ACC-020,2026-08-10,current,46
ACC-021,2026-08-10,current,25
ACC-022,2026-08-10,current,26
ACC-023,2026-08-10,current,23
ACC-024,2026-08-10,current,49
ACC-025,2026-08-10,current,23
ACC-026,2026-08-10,current,11
ACC-027,2026-08-10,current,15
ACC-028,2026-08-10,current,11
ACC-029,2026-08-10,current,35
ACC-030,2026-08-10,current,20
