account_id,account_name,am_owner,tier,account_since
ACC-001,Alderbrook Community College,Jordan K.,Gold,2025
ACC-002,Apex Secure Networks,Marcus T.,Silver,2021
ACC-003,Ashgrove Veterinary Network,Jordan K.,Gold,2023
ACC-004,BluePeak Technologies,Daniel R.,Silver,2023
ACC-005,Briarwood Senior Living,Ravi C.,Bronze,2025
ACC-006,Cascade Ridge Financial,Elena F.,Platinum,2024
ACC-007,Cobalt River Analytics,Jordan K.,Platinum,2019
ACC-008,Copperline Credit Union,Leo B.,Platinum,2020
ACC-009,Crestpoint Municipal Utilities,Grace L.,Gold,2025
ACC-010,Emberly Biotech Labs,Nadia P.,Bronze,2025
ACC-011,Fairhaven Regional Hospital,Nadia P.,Silver,2025
ACC-012,Fenwick & Cole Accounting,Priya N.,Silver,2024
ACC-013,Greenfield Ag Cooperative,Daniel R.,Platinum,2022
ACC-014,Harborline Logistics,Grace L.,Platinum,2022
ACC-015,Ironwood Legal Partners,Ananya S.,Silver,2019
ACC-016,Lakeshore School District,Elena F.,Gold,2022
ACC-017,Meridian Health Systems,Ananya S.,Gold,2020
ACC-018,Milestone Construction Group,Priya N.,Platinum,2020
ACC-019,Northgate Retail Holdings,Marcus T.,Silver,2025
ACC-020,Northstar Managed Services,Priya N.,Gold,2022
ACC-021,Palisade County Government,Hassan D.,Gold,2021
ACC-022,Parkview Behavioral Health,Owen T.,Bronze,2020
ACC-023,Redstone Manufacturing Co.,Ananya S.,Gold,2019
ACC-024,Sequoia Family Dental Group,Tomas W.,Gold,2022
ACC-025,Silverline Freight Systems,Marcus T.,Silver,2025
ACC-026,Talus Peak Engineering,Tomas W.,Gold,2023
ACC-027,Tidewater Marine Services,Leo B.,Silver,2023
ACC-028,Union Square Law Group,Daniel R.,Gold,2025
ACC-029,Vantage Point Insurance,Tomas W.,Gold,2023
ACC-030,Windmere Hotels & Resorts,Ravi C.,Bronze,2022
