deal_id,account_id,account_name,rep,rep_role,product_bundle,requires_hardware_shipment,quantity,discount_pct,max_discount_pct,billing_model,term_months,arr,submitted_age,source_status_reference,is_existing_customer_change,previous_quantity,change_reason
WG-10482,ACC-020,Northstar Managed Services,Priya N.,AM,Firebox M590 + Endpoint Security,True,60,42.0,35.0,Annual prepaid,36,128000,2h,exception,True,49,"Business grew faster than forecast this quarter, existing seats are maxed out"
WG-10488,ACC-004,BluePeak Technologies,Daniel R.,NCA,Firebox M590,True,15,10.0,20.0,Monthly,12,52000,40m,cleared,True,17,Said budget was cut this cycle and they need to scale back spend
WG-10499,ACC-017,Meridian Health Systems,Ananya S.,NCA,Firebox M590 + DNSWatch + AuthPoint,True,35,15.0,30.0,Annual prepaid,24,143000,5h,escalated,True,35,"Routine annual true-up to match current headcount, no material change"
WG-10505,ACC-002,Apex Secure Networks,Marcus T.,AM,Backup,False,8,5.0,15.0,Annual prepaid,12,9200,12m,cleared,True,6,"Straight renewal at the same seat count, no change in usage"
WG-9560,ACC-024,Sequoia Family Dental Group,Ananya S.,NCA,Firebox M590 + Endpoint Security + Backup,True,15,8.0,25.0,Annual prepaid,12,22429,"Aug 18, 2024",cleared,False,,
WG-9567,ACC-003,Ashgrove Veterinary Network,Daniel R.,NCA,AuthPoint,False,15,53.0,35.0,Monthly,36,17896,"Aug 24, 2024",discarded,False,,
WG-9571,ACC-018,Milestone Construction Group,Jordan K.,AM,Endpoint Security,False,30,13.0,25.0,Annual prepaid,12,63829,"Sep 9, 2024",approved,True,41,Renewing as-is while they evaluate their roadmap for next year
WG-9580,ACC-021,Palisade County Government,Tomas W.,AM,Firebox M590 + Endpoint Security,True,18,29.0,35.0,Annual prepaid,24,13613,"Sep 20, 2024",cleared,False,,
WG-9591,ACC-010,Emberly Biotech Labs,Hassan D.,NCA,Endpoint Security + Backup,False,10,36.0,25.0,Monthly,12,19831,"Sep 23, 2024",escalated,True,7,Landed a large new contract and is scaling their team to support it
WG-9595,ACC-009,Crestpoint Municipal Utilities,Jordan K.,AM,DNSWatch + AuthPoint,False,12,19.0,30.0,Monthly,24,10391,"Sep 24, 2024",approved,True,16,Restructuring the team and consolidating licenses down to active users only
WG-9604,ACC-010,Emberly Biotech Labs,Leo B.,AM,Endpoint Security + Backup,False,40,19.0,20.0,Quarterly,36,90783,"Sep 26, 2024",cleared,True,40,"Straight renewal at the same seat count, no change in usage"
WG-9611,ACC-016,Lakeshore School District,Ananya S.,NCA,Secure Wi-Fi,False,50,30.0,35.0,Quarterly,36,75500,"Sep 29, 2024",cleared,False,,
WG-9622,ACC-013,Greenfield Ag Cooperative,Grace L.,AM,Endpoint Security,False,35,11.0,15.0,Monthly,36,44275,"Oct 6, 2024",approved,False,,
WG-9628,ACC-010,Emberly Biotech Labs,Jordan K.,AM,Firebox M590 + DNSWatch,True,50,17.0,20.0,Annual prepaid,12,91646,"Oct 31, 2024",cleared,True,39,"Straight renewal at the same seat count, no change in usage"
WG-9638,ACC-030,Windmere Hotels & Resorts,Elena F.,AM,Firebox M590 + AuthPoint,True,10,22.0,30.0,Monthly,24,18625,"Nov 17, 2024",cleared,True,14,Renewing as-is while they evaluate their roadmap for next year
WG-9642,ACC-001,Alderbrook Community College,Leo B.,AM,Firebox M590 + DNSWatch,True,8,9.0,35.0,Monthly,12,11864,"Nov 28, 2024",approved,True,5,"Business grew faster than forecast this quarter, existing seats are maxed out"
WG-9652,ACC-010,Emberly Biotech Labs,Tomas W.,AM,DNSWatch + AuthPoint,False,30,18.0,25.0,Monthly,36,47178,"Nov 29, 2024",approved,False,,
WG-9662,ACC-018,Milestone Construction Group,Marcus T.,AM,Firebox M590 + Endpoint Security + Backup,True,20,18.0,25.0,Annual prepaid,36,35474,"Dec 2, 2024",cleared,True,25,Said budget was cut this cycle and they need to scale back spend
WG-9668,ACC-023,Redstone Manufacturing Co.,Nadia P.,NCA,Firebox M590 + Endpoint Security,True,40,19.0,25.0,Annual prepaid,24,30233,"Dec 3, 2024",cleared,False,,
WG-9673,ACC-024,Sequoia Family Dental Group,Leo B.,AM,Endpoint Security,False,40,19.0,20.0,Annual prepaid,24,64066,"Dec 7, 2024",cleared,False,,
WG-9676,ACC-014,Harborline Logistics,Owen T.,NCA,Secure Wi-Fi,False,18,26.0,35.0,Quarterly,12,26916,"Dec 11, 2024",approved,False,,
WG-9684,ACC-016,Lakeshore School District,Grace L.,AM,Secure Wi-Fi,False,60,27.0,30.0,Quarterly,36,110406,"Dec 23, 2024",approved,False,,
