account_id,signal_date,signal_text
ACC-003,2026-08-05,A new stakeholder was CC'd on recent emails — may indicate a champion change.
ACC-008,2026-07-26,Recent email thread mentions an upcoming compliance audit that may affect renewal timing.
ACC-006,2026-08-10,A new stakeholder was CC'd on recent emails — may indicate a champion change.
ACC-030,2026-08-14,Customer flagged interest in a competitor's product during a support ticket exchange.
ACC-023,2026-08-05,Customer mentioned budget planning for next fiscal year is already underway.
ACC-009,2026-08-10,Recent email thread mentions an upcoming compliance audit that may affect renewal timing.
ACC-014,2026-08-05,Customer mentioned budget planning for next fiscal year is already underway.
ACC-004,2026-07-26,Customer mentioned budget planning for next fiscal year is already underway.
ACC-002,2026-07-29,Customer mentioned opening a second office location in an email thread.
ACC-024,2026-08-02,Recent email thread mentions an upcoming compliance audit that may affect renewal timing.
ACC-026,2026-08-14,Recent email thread mentions an upcoming compliance audit that may affect renewal timing.
ACC-001,2026-08-14,Customer mentioned budget planning for next fiscal year is already underway.
ACC-027,2026-08-05,Customer mentioned budget planning for next fiscal year is already underway.
ACC-007,2026-07-29,Customer flagged interest in a competitor's product during a support ticket exchange.
ACC-005,2026-08-11,Customer mentioned opening a second office location in an email thread.
