account_id,week_ending,usage_score
ACC-001,2026-05-30,51
ACC-001,2026-06-06,53
ACC-001,2026-06-13,57
ACC-001,2026-06-20,56
ACC-001,2026-06-27,58
ACC-001,2026-07-04,58
ACC-001,2026-07-11,58
ACC-001,2026-07-18,57
ACC-001,2026-07-25,56
ACC-001,2026-08-01,56
ACC-001,2026-08-08,59
ACC-001,2026-08-15,63
ACC-002,2026-05-30,11
ACC-002,2026-06-06,15
ACC-002,2026-06-13,14
ACC-002,2026-06-20,17
ACC-002,2026-06-27,19
ACC-002,2026-07-04,20
ACC-002,2026-07-11,24
ACC-002,2026-07-18,22
ACC-002,2026-07-25,26
ACC-002,2026-08-01,28
ACC-002,2026-08-08,27
ACC-002,2026-08-15,30
ACC-003,2026-05-30,50
ACC-003,2026-06-06,47
ACC-003,2026-06-13,49
ACC-003,2026-06-20,48
ACC-003,2026-06-27,47
ACC-003,2026-07-04,46
ACC-003,2026-07-11,41
ACC-003,2026-07-18,42
ACC-003,2026-07-25,40
ACC-003,2026-08-01,36
ACC-003,2026-08-08,31
ACC-003,2026-08-15,32
ACC-004,2026-05-30,35
ACC-004,2026-06-06,33
ACC-004,2026-06-13,31
ACC-004,2026-06-20,33
ACC-004,2026-06-27,29
ACC-004,2026-07-04,30
ACC-004,2026-07-11,27
ACC-004,2026-07-18,26
ACC-004,2026-07-25,28
ACC-004,2026-08-01,26
ACC-004,2026-08-08,28
ACC-004,2026-08-15,30
ACC-005,2026-05-30,18
ACC-005,2026-06-06,21
ACC-005,2026-06-13,23
ACC-005,2026-06-20,23
ACC-005,2026-06-27,24
ACC-005,2026-07-04,25
ACC-005,2026-07-11,28
ACC-005,2026-07-18,30
ACC-005,2026-07-25,22
ACC-005,2026-08-01,32
ACC-005,2026-08-08,30
ACC-005,2026-08-15,27
ACC-006,2026-05-30,26
ACC-006,2026-06-06,26
ACC-006,2026-06-13,28
ACC-006,2026-06-20,29
ACC-006,2026-06-27,29
ACC-006,2026-07-04,29
ACC-006,2026-07-11,32
ACC-006,2026-07-18,36
ACC-006,2026-07-25,28
ACC-006,2026-08-01,36
ACC-006,2026-08-08,25
ACC-006,2026-08-15,35
ACC-007,2026-05-30,22
ACC-007,2026-06-06,24
ACC-007,2026-06-13,24
ACC-007,2026-06-20,28
ACC-007,2026-06-27,29
ACC-007,2026-07-04,31
ACC-007,2026-07-11,33
ACC-007,2026-07-18,37
ACC-007,2026-07-25,34
ACC-007,2026-08-01,30
ACC-007,2026-08-08,38
ACC-007,2026-08-15,38
ACC-008,2026-05-30,28
ACC-008,2026-06-06,26
ACC-008,2026-06-13,27
ACC-008,2026-06-20,28
ACC-008,2026-06-27,29
ACC-008,2026-07-04,29
ACC-008,2026-07-11,32
ACC-008,2026-07-18,35
ACC-008,2026-07-25,33
ACC-008,2026-08-01,32
ACC-008,2026-08-08,37
ACC-008,2026-08-15,31
ACC-009,2026-05-30,30
ACC-009,2026-06-06,28
ACC-009,2026-06-13,25
ACC-009,2026-06-20,26
ACC-009,2026-06-27,29
ACC-009,2026-07-04,31
ACC-009,2026-07-11,34
ACC-009,2026-07-18,41
ACC-009,2026-07-25,37
ACC-009,2026-08-01,32
ACC-009,2026-08-08,30
ACC-009,2026-08-15,32
ACC-010,2026-05-30,54
ACC-010,2026-06-06,56
ACC-010,2026-06-13,60
ACC-010,2026-06-20,58
ACC-010,2026-06-27,55
ACC-010,2026-07-04,55
ACC-010,2026-07-11,54
ACC-010,2026-07-18,54
ACC-010,2026-07-25,55
ACC-010,2026-08-01,57
ACC-010,2026-08-08,55
ACC-010,2026-08-15,57
ACC-011,2026-05-30,48
ACC-011,2026-06-06,46
ACC-011,2026-06-13,43
ACC-011,2026-06-20,40
ACC-011,2026-06-27,38
ACC-011,2026-07-04,39
ACC-011,2026-07-11,48
ACC-011,2026-07-18,49
ACC-011,2026-07-25,43
ACC-011,2026-08-01,50
ACC-011,2026-08-08,40
ACC-011,2026-08-15,40
ACC-012,2026-05-30,20
ACC-012,2026-06-06,25
ACC-012,2026-06-13,31
ACC-012,2026-06-20,37
ACC-012,2026-06-27,37
ACC-012,2026-07-04,39
ACC-012,2026-07-11,44
ACC-012,2026-07-18,47
ACC-012,2026-07-25,48
ACC-012,2026-08-01,53
ACC-012,2026-08-08,58
ACC-012,2026-08-15,61
ACC-013,2026-05-30,26
ACC-013,2026-06-06,28
ACC-013,2026-06-13,28
ACC-013,2026-06-20,30
ACC-013,2026-06-27,35
ACC-013,2026-07-04,36
ACC-013,2026-07-11,46
ACC-013,2026-07-18,48
ACC-013,2026-07-25,41
ACC-013,2026-08-01,40
ACC-013,2026-08-08,37
ACC-013,2026-08-15,48
ACC-014,2026-05-30,14
ACC-014,2026-06-06,13
ACC-014,2026-06-13,12
ACC-014,2026-06-20,14
ACC-014,2026-06-27,15
ACC-014,2026-07-04,15
ACC-014,2026-07-11,16
ACC-014,2026-07-18,20
ACC-014,2026-07-25,14
ACC-014,2026-08-01,21
ACC-014,2026-08-08,10
ACC-014,2026-08-15,15
ACC-015,2026-05-30,31
ACC-015,2026-06-06,31
ACC-015,2026-06-13,33
ACC-015,2026-06-20,31
ACC-015,2026-06-27,35
ACC-015,2026-07-04,34
ACC-015,2026-07-11,35
ACC-015,2026-07-18,44
ACC-015,2026-07-25,44
ACC-015,2026-08-01,40
ACC-015,2026-08-08,39
ACC-015,2026-08-15,42
ACC-016,2026-05-30,3
ACC-016,2026-06-06,5
ACC-016,2026-06-13,7
ACC-016,2026-06-20,11
ACC-016,2026-06-27,13
ACC-016,2026-07-04,16
ACC-016,2026-07-11,16
ACC-016,2026-07-18,24
ACC-016,2026-07-25,23
ACC-016,2026-08-01,19
ACC-016,2026-08-08,15
ACC-016,2026-08-15,21
ACC-017,2026-05-30,1
ACC-017,2026-06-06,3
ACC-017,2026-06-13,10
ACC-017,2026-06-20,17
ACC-017,2026-06-27,23
ACC-017,2026-07-04,30
ACC-017,2026-07-11,33
ACC-017,2026-07-18,38
ACC-017,2026-07-25,41
ACC-017,2026-08-01,47
ACC-017,2026-08-08,52
ACC-017,2026-08-15,58
ACC-018,2026-05-30,24
ACC-018,2026-06-06,24
ACC-018,2026-06-13,22
ACC-018,2026-06-20,19
ACC-018,2026-06-27,20
ACC-018,2026-07-04,20
ACC-018,2026-07-11,19
ACC-018,2026-07-18,21
ACC-018,2026-07-25,24
ACC-018,2026-08-01,21
ACC-018,2026-08-08,24
ACC-018,2026-08-15,24
ACC-019,2026-05-30,6
ACC-019,2026-06-06,5
ACC-019,2026-06-13,3
ACC-019,2026-06-20,8
ACC-019,2026-06-27,8
ACC-019,2026-07-04,9
ACC-019,2026-07-11,10
ACC-019,2026-07-18,13
ACC-019,2026-07-25,12
ACC-019,2026-08-01,11
ACC-019,2026-08-08,17
ACC-019,2026-08-15,20
ACC-020,2026-05-30,15
ACC-020,2026-06-06,21
ACC-020,2026-06-13,26
ACC-020,2026-06-20,30
ACC-020,2026-06-27,36
ACC-020,2026-07-04,40
ACC-020,2026-07-11,44
ACC-020,2026-07-18,42
ACC-020,2026-07-25,55
ACC-020,2026-08-01,60
ACC-020,2026-08-08,58
ACC-020,2026-08-15,66
ACC-021,2026-05-30,57
ACC-021,2026-06-06,53
ACC-021,2026-06-13,48
ACC-021,2026-06-20,45
ACC-021,2026-06-27,48
ACC-021,2026-07-04,44
ACC-021,2026-07-11,46
ACC-021,2026-07-18,46
ACC-021,2026-07-25,42
ACC-021,2026-08-01,41
ACC-021,2026-08-08,39
ACC-021,2026-08-15,39
ACC-022,2026-05-30,7
ACC-022,2026-06-06,7
ACC-022,2026-06-13,7
ACC-022,2026-06-20,9
ACC-022,2026-06-27,8
ACC-022,2026-07-04,10
ACC-022,2026-07-11,13
ACC-022,2026-07-18,14
ACC-022,2026-07-25,22
ACC-022,2026-08-01,13
ACC-022,2026-08-08,10
ACC-022,2026-08-15,15
ACC-023,2026-05-30,37
ACC-023,2026-06-06,37
ACC-023,2026-06-13,36
ACC-023,2026-06-20,35
ACC-023,2026-06-27,32
ACC-023,2026-07-04,31
ACC-023,2026-07-11,32
ACC-023,2026-07-18,34
ACC-023,2026-07-25,29
ACC-023,2026-08-01,23
ACC-023,2026-08-08,23
ACC-023,2026-08-15,29
ACC-024,2026-05-30,31
ACC-024,2026-06-06,34
ACC-024,2026-06-13,32
ACC-024,2026-06-20,32
ACC-024,2026-06-27,35
ACC-024,2026-07-04,38
ACC-024,2026-07-11,44
ACC-024,2026-07-18,48
ACC-024,2026-07-25,49
ACC-024,2026-08-01,47
ACC-024,2026-08-08,42
ACC-024,2026-08-15,47
ACC-025,2026-05-30,41
ACC-025,2026-06-06,42
ACC-025,2026-06-13,44
ACC-025,2026-06-20,41
ACC-025,2026-06-27,44
ACC-025,2026-07-04,46
ACC-025,2026-07-11,44
ACC-025,2026-07-18,41
ACC-025,2026-07-25,37
ACC-025,2026-08-01,41
ACC-025,2026-08-08,44
ACC-025,2026-08-15,46
ACC-026,2026-05-30,39
ACC-026,2026-06-06,39
ACC-026,2026-06-13,39
ACC-026,2026-06-20,40
ACC-026,2026-06-27,45
ACC-026,2026-07-04,48
ACC-026,2026-07-11,45
ACC-026,2026-07-18,45
ACC-026,2026-07-25,42
ACC-026,2026-08-01,44
ACC-026,2026-08-08,41
ACC-026,2026-08-15,38
ACC-027,2026-05-30,8
ACC-027,2026-06-06,7
ACC-027,2026-06-13,8
ACC-027,2026-06-20,11
ACC-027,2026-06-27,12
ACC-027,2026-07-04,15
ACC-027,2026-07-11,16
ACC-027,2026-07-18,21
ACC-027,2026-07-25,15
ACC-027,2026-08-01,18
ACC-027,2026-08-08,20
ACC-027,2026-08-15,22
ACC-028,2026-05-30,22
ACC-028,2026-06-06,21
ACC-028,2026-06-13,25
ACC-028,2026-06-20,25
ACC-028,2026-06-27,25
ACC-028,2026-07-04,25
ACC-028,2026-07-11,24
ACC-028,2026-07-18,25
ACC-028,2026-07-25,29
ACC-028,2026-08-01,32
ACC-028,2026-08-08,30
ACC-028,2026-08-15,34
ACC-029,2026-05-30,12
ACC-029,2026-06-06,12
ACC-029,2026-06-13,12
ACC-029,2026-06-20,15
ACC-029,2026-06-27,14
ACC-029,2026-07-04,14
ACC-029,2026-07-11,21
ACC-029,2026-07-18,23
ACC-029,2026-07-25,16
ACC-029,2026-08-01,16
ACC-029,2026-08-08,17
ACC-029,2026-08-15,20
ACC-030,2026-05-30,38
ACC-030,2026-06-06,41
ACC-030,2026-06-13,44
ACC-030,2026-06-20,48
ACC-030,2026-06-27,50
ACC-030,2026-07-04,49
ACC-030,2026-07-11,52
ACC-030,2026-07-18,51
ACC-030,2026-07-25,55
ACC-030,2026-08-01,53
ACC-030,2026-08-08,51
ACC-030,2026-08-15,56
